n2000code:text	name:text	authority:text	eunisurl:url
6152	Lampetra zanandreai	Vladykov, 1955	http://eunis.eea.europa.eu/species/525
6153	Hemorrhois nummifer	(Reuss, 1834)	http://eunis.eea.europa.eu/species/316307
6154	Cyrtodactylus kotschyi	(Steindachner, 1870)	http://eunis.eea.europa.eu/species/664
6157	Gobio belingi	Slastenenko, 1934	http://eunis.eea.europa.eu/species/502
6158	Gobio vladykovi	Fang, 1943	http://eunis.eea.europa.eu/species/12460
6159	Gobio elimeius	Kattoulas, Stephanidis & Eonomidis, 1973	http://eunis.eea.europa.eu/species/15018
6160	Scilla lochiae	(Meikle) Speta	http://eunis.eea.europa.eu/species/316787
6161	Chionodoxa luciliae	Boiss.	http://eunis.eea.europa.eu/species/9261
6163	Bryoerythrophyllum machadoanum	(Sérgio) M. O. Hill, 1981 [1982]	http://eunis.eea.europa.eu/species/2293
6164	Thymus cephalotos	L.	http://eunis.eea.europa.eu/species/174434
6165	Hyla arborea sarda	(de Betta, 1857)	http://eunis.eea.europa.eu/species/712
6166	Scapania carinthiaca	J.B. Jack ex Lindb.	http://eunis.eea.europa.eu/species/319067
6167	Gomphus flavipes	(Charpentier, 1825)	http://eunis.eea.europa.eu/species/152
6169	Euphydryas maturna	Linnaeus, 1758	http://eunis.eea.europa.eu/species/135
6170	Actias isabellae	(Graells, 1849)	http://eunis.eea.europa.eu/species/306798
6171	Dianthus arenarius subsp. borussicus	Vierh.	http://eunis.eea.europa.eu/species/166446
6172	Narcissus assoanus subsp. praelongus	Barra & G. López	http://eunis.eea.europa.eu/species/319042
6174	Biscutella sempervirens subsp. vicentina	(Samp.) Malag.	http://eunis.eea.europa.eu/species/316142
6175	Carex acuta	L.	http://eunis.eea.europa.eu/species/188000
6177	Phengaris teleius	(Bergstrasser, 1779)	http://eunis.eea.europa.eu/species/316696
6179	Phengaris nausithous	(Bergstrasser, 1779)	http://eunis.eea.europa.eu/species/316697
